pubchem id,common name,flavor profile
122485,"(1r,4r)-4-isopropyl-1-methylcyclohex-2-en-1-ol",{'herb'}
12256,Ethyl Isopropyl Ether,{''}
12257,Isopropyl Formate,"{'ethereal', 'solvent', 'cocoa', 'tropical'}"
12266,"2,5-Dimethylfuran","{'bacon', 'ethereal', 'gravy', 'chemical', 'roast', 'meaty', 'beef'}"
12278,2-Pentyl Acetate,"{'herbal', 'tropical'}"
12293,Propyl Hexanoate,"{'fruit', 'juicy', 'tropical', 'pineapple', 'green', 'sweet', 'fruity'}"
12294,Butyl hexanoate,"{'berry', 'wine', 'fruit', 'pineapple', 'fruity'}"
12297,2-Hexanol,"{'chemical', 'winey'}"
12302243,alpha-Calacorene,{''}
12304610,UNII-193IW486Z8,{''}
12305247,CID 12305247,{'wood'}
12306047,alpha-Muurolene,"{'woody', 'wood'}"
12306048,alpha-Cadinene,"{'dry', 'woody'}"
123136,Allyl radical,{''}
12315259,"2-Methyl-5-((1S,2S,4R)-2-methyl-3-methylenebicyclo[2.2.1]heptan-2-yl)pent-2-en-1-ol",{''}
12327,Ethyl Undecanoate,"{'soapy', 'cognac', 'waxy', 'coconut', 'fatty'}"
123388,Ethyl methyl disulfide,"{'sulfurous', 'truffle'}"
12344,5-Methylhexanoic Acid,"{'oily', 'cheese', 'fruity', 'fatty'}"
12348,Amyl acetate,"{'banana', 'ethereal', 'fruity'}"
12365893,"2-Pentenal, (Z)-","{'apple', 'pungent', 'orange', 'tomato', 'green'}"
12366,Ethyl Palmitate,"{'creamy', 'balsam', 'waxy', 'fruity', 'milky', 'wax', 'mild'}"
12367,2-Nonanol,"{'creamy', 'cucumber', 'citrus', 'orange', 'green', 'cheese', 'waxy', 'fruity'}"
12376292,UNII-M41Y60O5BZ,"{'grass', 'gassy', 'powerful', 'green', 'fruity'}"
12377,Dipropyl disulfide,"{'burnt', 'green', 'earthy', 'sulfury', 'onion'}"
12388,Tridecane,{'alkane'}
12389,Tetradecane,"{'mild', 'waxy', 'alkane'}"
12391,Pentadecane,"{'waxy', 'alkane'}"
12395,1-Hexadecene,{''}
12397,1-Pentadecanol,{''}
12398,Heptadecane,{'alkane'}
12401,Nonadecane,"{'bland', 'alkane'}"
12403,Heneicosane,"{'waxy', 'alkane'}"
12405,Docosane,"{'waxy', 'alkane'}"
12406,Pentacosane,{''}
12507,4-Methoxystyrene,{'sweet'}
12508,Isopropyl Propionate,"{'sweet', 'bitter', 'pineapple', 'banana', 'ether', 'fruity'}"
12514,"2,5-Dimethylthiophene","{'nutty', 'sulfury'}"
12523,Phytane,{''}
12529,Pentyl formate,"{'ethereal', 'powerful', 'green', 'unripe banana', 'earthy', 'fruity'}"
12534,Tricosane,"{'waxy', 'alkane'}"
125468,Tiglic Acid,"{'woody', 'caramel', 'spicy', 'dry', 'sweet'}"
125,4-hydroxybenzyl alcohol,"{'almond', 'bitter', 'sweet', 'coconut', 'fruity'}"
12570,2-Propylphenol,"{'medicinal', 'phenolic', 'smoky'}"
12571,Propyl Isobutyrate,"{'berry', 'tropical', 'ripe', 'sweet', 'melon', 'fruity'}"
12578,4'-Isopropylacetophenone,"{'spicy', 'herbal', 'woody'}"
12580,4-Propylphenol,"{'medicinal', 'phenolic'}"
12581,3-Phenylpropanenitrile,{''}
12587,4-Methylpentanoic Acid,"{'cheese', 'pungent'}"
12592,Tetracosane,{''}
12613,Isoamyl Isovalerate,"{'green', 'mango', 'fruity', 'ripe', 'tropical', 'apple', 'sweet', 'jammy'}"
126,4-hydroxybenzaldehyde,"{'almond', 'woody', 'nutty', 'sweet', 'balsam'}"
12658395,Clove Oil,{''}
1268142,Nootkatone,{''}
12729,Ethyl 10-Undecenoate,"{'creamy', 'soapy', 'cognac', 'musty', 'waxy', 'fruity', 'clean'}"
12741,2-Decanone,"{'floral', 'orange', 'peach', 'fatty'}"
12748,4-Methylthiazole,"{'tomato', 'vegetable', 'green', 'nutty', 'roasted meat'}"
12756,gamma-Caprolactone,"{'coumarin', 'tobacco', 'sweet', 'herbal', 'coconut'}"
12777,delta-Octanolactone,"{'tonka', 'fatty', 'dairy', 'peach', 'tropical', 'coconut', 'sweet'}"
12779,Benzyl methyl disulfide,"{'sulfurous', 'metallic', 'vegetable', 'green', 'cabbage'}"
12810,Delta-Decalactone,"{'creamy', 'apricot', 'plum', 'oily', 'dairy', 'peach', 'sweet', 'fresh', 'butter', 'coconut', 'fruity'}"
12813,gamma-Decalactone,"{'fresh', 'fat', 'caramel', 'strong', 'waxy', 'fatty', 'fruity', 'oily', 'peach', 'buttery', 'coconut', 'sweet'}"
12844,Delta-Dodecalactone,"{'creamy', 'buttery', 'sweet', 'metallic', 'fruit', 'oily', 'peach', 'cheese', 'fresh', 'butter', 'coconut'}"
12858404,(r)-(+)-dihydro-alpha-ionone,"{'woody', 'orris', 'raspberry', 'warm', 'violet', 'herbal', 'earthy'}"
12997,1-Decyne,{''}
13016,Benzyl methyl sulfide,"{'roasted', 'burnt', 'pork', 'chicken', 'lamb', 'beef'}"
13026600,Ethyl 2-Hydroxy-3-Methylvalerate,"{'berry', 'fruity'}"
13144,calcium lactate,{'odorless'}
13187,2-Nonanone,"{'fishy', 'fresh', 'soapy', 'hot milk', 'soap', 'green', 'earthy', 'herbal', 'sweet', 'weedy'}"
13204,delta-Hexalactone,"{'sweet', 'herbal'}"
13233,Trithioacetone,"{'sulfurous', 'blackberry', 'burnt', 'green', 'earthy'}"
13357,Methyl 2-methylbutyrate,"{'tutti frutti', 'apple', 'green', 'sweet', 'fruity', 'fatty'}"
13367,Allyl Mercaptan,"{'sulfurous', 'roasted', 'alliaceous', 'garlic', 'onion'}"
135,4-Hydroxybenzoic Acid,"{'nutty', 'phenolic'}"
13561,6-Undecanone,{''}
13572,6-Methylheptan-2-one,{''}
13576,3-Decanone,"{'floral', 'citrus', 'orange', 'green', 'waxy', 'fruity'}"
13587,3-Methylfuran,{''}
13621,3-Ethyl-o-xylene,{''}
13654,Isopropyl Benzoate,"{'fruit', 'floral', 'balsamic', 'sweet', 'fruity'}"
137065,"1,3-Diphenyl-1-butanone",{''}
137640,2564-86-5,{''}
13849,Pentadecanoic Acid,{'waxy'}
13854,1H-Pyrrole-2-carbaldehyde,{'ethereal'}
138818,Methanedithiol,{'pungent'}
